Focus ID; Focus Name; Focus Description; Notes
SPA_invite_indiana;[null];[null];Missing description (no localization key exists);
SPA_Showcase_Innovation;[null];[null];Missing description (no localization key exists);
SPA_invite_ohio_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_Purchase_German_Tanks;[null];[null];Missing description (no localization key exists);
SPA_a_collectivised_society;[null];[null];Missing description (no localization key exists);
SPA_the_best_defense;[null];[null];Missing description (no localization key exists);
SPA_Very_Low_Taxes;[null];[null];Missing description (no localization key exists);
SPA_great_lakes_embassy;[null];[null];Missing description (no localization key exists);
SPA_enact_complete_womans_rights;[null];[null];Missing description (no localization key exists);
SPA_organized_militia;[null];[null];Missing description (no localization key exists);
SPA_strengthen_democracy;[null];[null];Missing description (no localization key exists);
SPA_army_acadamy;[null];[null];Missing description (no localization key exists);
SPA_democratic_armed_forces;[null];[null];Missing description (no localization key exists);
SPA_the_final_push;[null];[null];Missing description (no localization key exists);
SPA_faster_trucks;[null];[null];Missing description (no localization key exists);
SPA_expertizse_training;[null];[null];Missing description (no localization key exists);
SPA_Rally_Lutherans;[null];[null];Missing description (no localization key exists);
SPA_reflect_on_the_great_war;[null];[null];Missing description (no localization key exists);
SPA_Expanding_The_Fatherland;[null];[null];Missing description (no localization key exists);
SPA_democratic_arsonel;[null];[null];Missing description (no localization key exists);
SPA_civilian_conservation_corps;[null];[null];Missing description (no localization key exists);
SPA_invite_minnisotta;[null];[null];Missing description (no localization key exists);
SPA_a_reformed_society;[null];[null];Missing description (no localization key exists);
SPA_cordial_with_maryland;[null];[null];Missing description (no localization key exists);
SPA_invite_german_officers;[null];[null];Missing description (no localization key exists);
SPA_Penn_Tank_Corps;[null];[null];Missing description (no localization key exists);
SPA_every_man_a_factory;[null];[null];Missing description (no localization key exists);
SPA_democratic_armies;[null];[null];Missing description (no localization key exists);
SPA_attack_new_jersey;[null];[null];Missing description (no localization key exists);
SPA_teach_german_as_a_secondary_language;[null];[null];Missing description (no localization key exists);
SPA_align_the_rockies;[null];[null];Missing description (no localization key exists);
SPA_invite_illinios;[null];[null];Missing description (no localization key exists);
SPA_work_with_democracies;[null];[null];Missing description (no localization key exists);
SPA_pennsylvania_dutch_takeover;[null];[null];Missing description (no localization key exists);
SPA_invite_new_jersey_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_anarchist_industries;[null];[null];Missing description (no localization key exists);
SPA_Copy_German_Designs;[null];[null];Missing description (no localization key exists);
SPA_infantry_on_wheels;[null];[null];Missing description (no localization key exists);
SPA_keep_the_current_capital;[null];[null];Missing description (no localization key exists);
SPA_compliance_through_fear;[null];[null];Missing description (no localization key exists);
SPA_end_the_crisis;[null];[null];Missing description (no localization key exists);
SPA_Great_Pennsylvania_Partisan_Army;[null];[null];Missing description (no localization key exists);
SPA_drowning_in_guns;[null];[null];Missing description (no localization key exists);
SPA_the_late_election;[null];[null];Missing description (no localization key exists);
SPA_Amish_Tachanka;[null];[null];Missing description (no localization key exists);
SPA_merge_the_powers_of_government_and_of_people;[null];[null];Missing description (no localization key exists);
SPA_powerful_trade_unions;[null];[null];Missing description (no localization key exists);
SPA_ensure_the_stability_of_the_neighbors;[null];[null];Missing description (no localization key exists);
SPA_move_the_captial_to_DC;[null];[null];Missing description (no localization key exists);
SPA_align_new_england;[null];[null];Missing description (no localization key exists);
SPA_focus_on_the_atlantic_fleet;[null];[null];Missing description (no localization key exists);
SPA_pass_new_taxes;[null];[null];Missing description (no localization key exists);
SPA_invite_virginia_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_ban_the_hiring_of_the_police_force;[null];[null];Missing description (no localization key exists);
SPA_increase_minimum_wage;[null];[null];Missing description (no localization key exists);
SPA_Offer_Help_to_Anglican_Farmers;[null];[null];Missing description (no localization key exists);
SPA_Sway_The_Amish_To_help_Us;[null];[null];Missing description (no localization key exists);
SPA_Helping_The_Farmers;[null];[null];Missing description (no localization key exists);
SPA_core_new_jersey;[null];[null];Missing description (no localization key exists);
SPA_tactical_training;[null];[null];Missing description (no localization key exists);
SPA_Preserving_The_PA_PennsilfaanischDeitsch;[null];[null];Missing description (no localization key exists);
SPA_one_of_many;[null];[null];Missing description (no localization key exists);
SPA_Employ_Amish_For_State_Production;[null];[null];Missing description (no localization key exists);
SPA_Scranton_Rubber_Plant;[null];[null];Missing description (no localization key exists);
SPA_go_with_george_howard_earle_iii;[null];[null];Missing description (no localization key exists);
SPA_Pepper_Cabbage_Army;[null];[null];Missing description (no localization key exists);
SPA_anarchist_education;[null];[null];Missing description (no localization key exists);
SPA_conscripted_militia;[null];[null];Missing description (no localization key exists);
SPA_invest_in_screen_ships;[null];[null];Missing description (no localization key exists);
SPA_The_Self_Armament_Program;[null];[null];Missing description (no localization key exists);
SPA_invite_maryland;[null];[null];Missing description (no localization key exists);
SPA_complete_manifest_destiny;[null];[null];Missing description (no localization key exists);
SPA_anarchism_beyond_boarders;[null];[null];Missing description (no localization key exists);
SPA_The_War_Tax;[null];[null];Missing description (no localization key exists);
SPA_work_with_progressivist_countries;[null];[null];Missing description (no localization key exists);
SPA_Bomber_Program;[null];[null];Missing description (no localization key exists);
SPA_national_highway_system;[null];[null];Missing description (no localization key exists);
SPA_Bastion_to_oppose_Oppersion;[null];[null];Missing description (no localization key exists);
SPA_deal_with_the_stikes;[null];[null];Missing description (no localization key exists);
SPA_Rally_less_insular_minor_faiths;[null];[null];Missing description (no localization key exists);
SPA_Die_Lichter_Loeschen;[null];[null];Missing description (no localization key exists);
SWA_intervene_on_behalf_of_oregon_progressives;Intervene on Behalf of Oregon Progressives;;Empty description (localization key exists);
SWA_short_term_economics;Short-Term Economics;;Empty description (localization key exists);
SWA_ban_leftist_parties;Ban Leftist Parties;;Empty description (localization key exists);
SWA_deputize_patriots;Deputize True Patriots;;Empty description (localization key exists);
SWA_ask_for_manpower;Ask for Manpower;;Empty description (localization key exists);
SWA_stamp_out_communism;Stamp Out Communism;;Empty description (localization key exists);
SWA_protect_mill_owners;Protect the Mill Owners;;Empty description (localization key exists);
SWA_push_for_autarky;Push For Autarky;;Empty description (localization key exists);
SWA_begin_integration_talks;Begin Integration Talks;;Empty description (localization key exists);
SWA_mass_political_repression;Mass Political Repression;;Empty description (localization key exists);
SWA_deal_with_the_timber_industry;Future Of The Timber Industry;;Empty description (localization key exists);
SWA_the_timber_capital_of_North_America;The Timber Capital of North America;;Empty description (localization key exists);
SWA_bigger_work_force;Get a Bigger Work Force;;Empty description (localization key exists);
SWA_enforce_segregation;Enforce Segregation Conquered Territories;;Empty description (localization key exists);
SWA_klan_rangers;Klan Rangers;;Empty description (localization key exists);
SWA_lumberjack_army;Lumberjack Army;;Empty description (localization key exists);
SWA_fate_of_UP_leadership;Fate of the UP Leadership;;Empty description (localization key exists);
SWA_Purchase_Radar_Defense;Purchase RADAR Defenses;;Empty description (localization key exists);
SWA_populist_idaho;Spread Populism To Idaho;;Empty description (localization key exists);
